X,Y,LOCATION_ORIGINAL,ATE_TYPE,ATE_STATUS,OBJECTID
-77.0036133961112,38.9230633517606,2600 blk Lincoln Rd NE n/b,Speed Safety Camera Enforcement Sites,Active,510
-77.0141689574764,38.900841117351,3rd St Tunnel NW s/b by 3rd St,Speed Safety Camera Enforcement Sites,Active,512
-77.007780068276,38.9300077931162,3000 blk N Capitol St NW s/b,Speed Safety Camera Enforcement Sites,Active,514
-77.016789281783,38.8222612237259,DC295 SW .05 mile s/o exit 1 n/b,Speed Safety Camera Enforcement Sites,Active,517
-77.1009327826458,38.929281853127,3600 blk Park Pl NW s/b,Speed Safety Camera Enforcement Sites,Active,518
-77.0194171077971,38.9342777349809,3600 blk Park Pl NW s/b,Speed Safety Camera Enforcement Sites,Active,519
-77.008920351619,38.9074041622932,New York Ave sw/b @ N Capitol St NE,Speed Safety Camera Enforcement Sites,Active,520
-77.0134041838671,38.9588132864326,5700 blk Kansas Ave NW sw/b,Speed Safety Camera Enforcement Sites,Active,523
-76.9416137398577,38.9042405862893,DC295 NE .7 miles s/o Eastern Ave s/b,Speed Safety Camera Enforcement Sites,Active,524
-76.978215104767,38.8392853835353,1900 blk Southern Ave SE ne/b,Speed Safety Camera Enforcement Sites,Active,525
-76.9820467880723,38.8367871073618,1400 blk Southern Ave SE SW/b,Speed Safety Camera Enforcement Sites,Active,2573
-77.02373850615,38.9323234617776,3400 blk Georgia Ave NW s/b,Speed Safety Camera Enforcement Sites,Active,2575
-77.0236698271861,38.9323242306039,3400 blk Georgia Ave NW nb,Speed Safety Camera Enforcement Sites,Active,2576
-76.9798633190146,38.9002142904745,1600 blk Benning Rd NE w/b,Speed Safety Camera Enforcement Sites,Active,2577
-76.9639047301612,38.8610767360038,1800 blk Alabama Ave SE ne/b,Speed Safety Camera Enforcement Sites,Active,2578
-76.9740642136982,38.8532127515679,2200 blk Irving St SE w/b,Speed Safety Camera Enforcement Sites,Active,2579
-76.9737903200168,38.8951151732457,300 blk Oklahoma Ave NE,Speed Safety Camera Enforcement Sites,Active,2580
-77.0076044054687,38.8275963822271,4300 blk South Capitol St SW s/b,Speed Safety Camera Enforcement Sites,Active,2582
-76.9852705879282,38.8898678412456,1400 blk E Capitol St NE,Speed Safety Camera Enforcement Sites,Active,2583
-77.0663133512398,38.9379624485859,34th St n/b @ Quebec St NW,Speed Safety Camera Enforcement Sites,Active,2584
-77.003692033336,38.9567646205482,200 blk Riggs Rd NE e/b,Speed Safety Camera Enforcement Sites,Active,2585
-77.0095089249354,38.9109417750875,Unit blk Florida Ave NW se/b,Speed Safety Camera Enforcement Sites,Active,2586
-77.0094610690887,38.9110318488852,Unit blk Florida Ave NE nw/b,Speed Safety Camera Enforcement Sites,Active,2587
-76.9808479089107,38.8690952492145,300 blk 17th St SE s/b,Speed Safety Camera Enforcement Sites,Active,2588
-77.0124955359485,38.9213442521037,100 blk Bryant St NW w/b,Speed Safety Camera Enforcement Sites,Active,2589
-76.9719467171755,38.9419522367856,4200 blk Eastern Ave NE se/b,Speed Safety Camera Enforcement Sites,Active,2590
-77.0319507376359,38.9169981210029,14th St s/b @ U St NW,Red Light Safety Camera Enforcement Sites,Active,2592
-76.937542942382,38.8897719558883,E Capitol St w/b @ Benning Rd NE,Red Light Safety Camera Enforcement Sites,Active,2593
-76.9714185093775,38.8738265258461,Pennsylvania Ave w/b @ Minnesota Ave SE,Red Light Safety Camera Enforcement Sites,Active,2594
-76.9724393792481,38.9173289575596,NY Ave w/b @ Bladensburg Rd NE,Red Light Safety Camera Enforcement Sites,Active,2595
-76.9724393792481,38.9173289575596,NY Ave e/b @ Bladensburg Rd NE,Red Light Safety Camera Enforcement Sites,Active,2596
-76.9724393792481,38.9173289575596,Bladensburg Rd n/b @ NY Ave NE,Red Light Safety Camera Enforcement Sites,Active,2597
-77.0080339961226,38.9423811112407,N Capitol St n/b @ Harewood Rd NE,Red Light Safety Camera Enforcement Sites,Active,2598
-76.9915375824662,38.8778705516264,I-695 off ramp e/b @ 11th St SE ,Red Light Safety Camera Enforcement Sites,Active,2599
-77.0090070229212,38.9524074666934,N Capitol St s/b @ Gallatin St NW,Red Light Safety Camera Enforcement Sites,Active,2600
-77.009046091819,38.9548156435656,N Capitol St n/b @ Riggs Rd NE,Red Light Safety Camera Enforcement Sites,Active,2601
-77.0533059867828,38.9025288080881,K St w/b @ 25th St NW,Red Light Safety Camera Enforcement Sites,Active,2602
-76.9651619133151,38.9251687498308,S Dakota se/b @ Bladensburg Rd NE,Red Light Safety Camera Enforcement Sites,Active,2603
-77.009058295112,38.8792859271466,S Capitol Ramp s/b before I St SW,Red Light Safety Camera Enforcement Sites,Active,2605
-77.0364514542529,38.9349667740861,16th St n/b @ Oak St NW,Red Light Safety Camera Enforcement Sites,Active,2606
-77.0364148941938,38.9525351320198,16th St s/b @ Colorado Ave NW,Red Light Safety Camera Enforcement Sites,Active,2607
-77.0280307442709,38.9610140993443,Georgia Ave s/b @ Missouri Ave NW,Red Light Safety Camera Enforcement Sites,Active,2608
-76.9833026313707,38.8532976779571,Suitland Pkwy w/b @ Stanton Rd SE,Red Light Safety Camera Enforcement Sites,Active,2609
-77.0281374136692,38.892085726674,12th St n/b @ Constitution Ave NW,Red Light Safety Camera Enforcement Sites,Active,2610
