X,Y,OBJECTID,AGENCY,PROJECT_TITLE,ADDRESS,MAR_MATCHADDRESS,LABEL,YEAR,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9945495317329,38.8385187759319,783,DPR,Southeast Tennis and Learning Center,701 MISSISSIPPI AVENUE SE,701 MISSISSIPPI AVENUE SE,19,2018,400473.4,130079.58,295830,CapitalProjectsPt_579,{F0CEB4A5-4C12-4158-A381-57DF3B198B3F},,,,
-76.9945495317329,38.8385187759319,784,HA0 - DPR,SE Tennis Learning Center,701 MISSISSIPPI AVENUE SE,701 MISSISSIPPI AVENUE SE,8,2013,400473.4,130079.58,295830,CapitalProjectsPt_349,{148DA7E1-1ABC-45A3-9D55-2DE20FA3599F},,,,
-76.9945495317329,38.8385187759319,785,DPR,Southeast Tennis and Learning Center,701 MISSISSIPPI AVENUE SE,701 MISSISSIPPI AVENUE SE,17,2021,400473.4,130079.58,295830,CapitalProjectsPt_750,{C2FEB351-3433-4BDE-A4B2-9C4D576774EF},,,,
-76.9945495317329,38.8385187759319,786,DPR,Southeast Tennis and Learning Center,701 MISSISSIPPI AVENUE SE,701 MISSISSIPPI AVENUE SE,18,2020,400473.4,130079.58,295830,CapitalProjectsPt_708,{C96C2B37-5F34-4C7B-9D84-C89631F17CBB},,,,
-76.9945495317329,38.8385187759319,787,DPR,SE Tennis & Learning Center,701 Mississippi Ave SE,701 MISSISSIPPI AVENUE SE,12,2014,400473.4,130079.58,295830,CapitalProjectsPt_354,{2E7651B3-ED32-416A-9CF0-4176B85A079D},,,,
-76.9971810142341,38.8377453130832,788,,PHASE 1,601 MISSISSIPPI AVENUE SE,601 MISSISSIPPI AVENUE SE,,2010,400244.9405,129993.71,5534,CapitalProjectsPt_219,{AEEBA7D2-0BDD-4F16-B5B2-831E5C6F2EF5},,,,
-76.9989335258718,38.836763780842,789,DPR,Oxon Run Park,501 MISSISSIPPI AVENUE SE,501 MISSISSIPPI AVENUE SE,14,2021,400092.79,129884.75,310268,CapitalProjectsPt_796,{6EB18C91-AFB1-498E-A359-5C83FCDA3D5A},,,,
-76.9989335258718,38.836763780842,790,DPR,Oxon Run Park,501 MISSISSIPPI AVENUE SE,501 MISSISSIPPI AVENUE SE,12,2016,400092.79,129884.75,310268,CapitalProjectsPt_473,{C49FE90B-C0BC-4172-B7C3-0EB02ED51986},,,,
-77.0001972654854,38.8359879771748,791,,PHASE 1,401 MISSISSIPPI AVENUE SE,401 MISSISSIPPI AVENUE SE,,2010,399983.0705,129798.63,294481,CapitalProjectsPt_120,{6CFB222E-DBA5-465C-BF99-9C70D8634190},,,,
-76.9922710836042,38.8343356602551,792,,PHASE 1,908 WAHLER PLACE SE,908 WAHLER PLACE SE,,2010,400671.2505,129615.24,294502,CapitalProjectsPt_86,{D05F3DE1-643F-48D1-BE57-3FFAE1449663},,,,
-76.995165704241,38.8323513419528,793,,PHASE 1,3999 8TH STREET SE,3999 8TH STREET SE,,2010,400419.9405,129394.95,294588,CapitalProjectsPt_118,{24C6E927-16D0-4BA7-98F3-FE28BC4E73CD},,,,
-77.0093671861083,38.8313332896664,794,CE0,WASHINGTON HIGHLAND,115 ATLANTIC STREET SW,115 ATLANTIC STREET SW,,2010,399186.87,129281.97,302935,CapitalProjectsPt_12,{35AA9E5E-7C69-44C8-85CB-8906ECAEDC49},,,,
